nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
PCMACS,NA,1693776074,groupby,G1_1e6_1e2_10_0.csv,1000000,median v3 sd v3 by id4 id5,8281,4,dplyr,1.1.2,,group_by,1,0.33,NA,TRUE,414357.1;238737.8,0,NA,FALSE
PCMACS,NA,1693776074,groupby,G1_1e6_1e2_10_0.csv,1000000,median v3 sd v3 by id4 id5,8281,4,dplyr,1.1.2,,group_by,2,0.32,NA,TRUE,414357.1;238737.8,0,NA,FALSE
PCMACS,NA,1693776074,groupby,G1_1e6_1e2_10_0.csv,1000000,max v1 - min v2 by id3,9001,2,dplyr,1.1.2,,group_by,1,0.05,NA,TRUE,35981,0,NA,FALSE
PCMACS,NA,1693776074,groupby,G1_1e6_1e2_10_0.csv,1000000,max v1 - min v2 by id3,9001,2,dplyr,1.1.2,,group_by,2,0.05,NA,TRUE,35981,0,NA,FALSE
PCMACS,NA,1693776082,groupby,G1_1e6_1e2_10_0.csv,1000000,sum v3 count by id1:id6,999997,8,dplyr,1.1.2,,group_by,1,7.67,NA,TRUE,45036571;1000000,0,NA,FALSE
PCMACS,NA,1693776090,groupby,G1_1e6_1e2_10_0.csv,1000000,sum v3 count by id1:id6,999997,8,dplyr,1.1.2,,group_by,2,7.27,NA,TRUE,45036571;1000000,0,NA,FALSE
PCMACS,NA,1693776093,groupby,G1_1e7_1e2_0_0.csv,10000000,sum v1 by id1,100,2,dplyr,1.1.2,,group_by,1,0.11,NA,TRUE,29998789,0,NA,FALSE
PCMACS,NA,1693776094,groupby,G1_1e7_1e2_0_0.csv,10000000,sum v1 by id1,100,2,dplyr,1.1.2,,group_by,2,0.11,NA,TRUE,29998789,0,NA,FALSE
PCMACS,NA,1693776094,groupby,G1_1e7_1e2_0_0.csv,10000000,sum v1 by id1:id2,10000,3,dplyr,1.1.2,,group_by,1,0.2,NA,TRUE,29998789,0,NA,FALSE
PCMACS,NA,1693776094,groupby,G1_1e7_1e2_0_0.csv,10000000,sum v1 by id1:id2,10000,3,dplyr,1.1.2,,group_by,2,0.21,NA,TRUE,29998789,0,NA,FALSE
PCMACS,NA,1693776096,groupby,G1_1e7_1e2_0_0.csv,10000000,sum v1 mean v3 by id3,100000,3,dplyr,1.1.2,,group_by,1,1.32,NA,TRUE,29998789;4999720,0,NA,FALSE
PCMACS,NA,1693776097,groupby,G1_1e7_1e2_0_0.csv,10000000,sum v1 mean v3 by id3,100000,3,dplyr,1.1.2,,group_by,2,1.38,NA,TRUE,29998789;4999720,0,NA,FALSE
PCMACS,NA,1693776098,groupby,G1_1e7_1e2_0_0.csv,10000000,mean v1:v3 by id4,100,4,dplyr,1.1.2,,group_by,1,0.54,NA,TRUE,299.988;799.8942;4999.767,0,NA,FALSE
PCMACS,NA,1693776099,groupby,G1_1e7_1e2_0_0.csv,10000000,mean v1:v3 by id4,100,4,dplyr,1.1.2,,group_by,2,0.55,NA,TRUE,299.988;799.8942;4999.767,0,NA,FALSE
PCMACS,NA,1693776100,groupby,G1_1e7_1e2_0_0.csv,10000000,sum v1:v3 by id6,100000,4,dplyr,1.1.2,,group_by,1,1.02,NA,TRUE,29998789;79989360;499976651,0,NA,FALSE
PCMACS,NA,1693776101,groupby,G1_1e7_1e2_0_0.csv,10000000,sum v1:v3 by id6,100000,4,dplyr,1.1.2,,group_by,2,1.06,NA,TRUE,29998789;79989360;499976651,0,NA,FALSE
PCMACS,NA,1693776102,groupby,G1_1e7_1e2_0_0.csv,10000000,median v3 sd v3 by id4 id5,10000,4,dplyr,1.1.2,,group_by,1,0.81,NA,TRUE,499920.1;288648.1,0,NA,FALSE
PCMACS,NA,1693776103,groupby,G1_1e7_1e2_0_0.csv,10000000,median v3 sd v3 by id4 id5,10000,4,dplyr,1.1.2,,group_by,2,0.83,NA,TRUE,499920.1;288648.1,0,NA,FALSE
PCMACS,NA,1693776104,groupby,G1_1e7_1e2_0_0.csv,10000000,max v1 - min v2 by id3,100000,2,dplyr,1.1.2,,group_by,1,0.6,NA,TRUE,399882,0,NA,FALSE
PCMACS,NA,1693776105,groupby,G1_1e7_1e2_0_0.csv,10000000,max v1 - min v2 by id3,100000,2,dplyr,1.1.2,,group_by,2,0.62,NA,TRUE,399882,0,NA,FALSE
PCMACS,NA,1693776184,groupby,G1_1e7_1e2_0_0.csv,10000000,sum v3 count by id1:id6,10000000,8,dplyr,1.1.2,,group_by,1,78.35,NA,TRUE,499976651;10000000,0.04,NA,FALSE
PCMACS,NA,1693776267,groupby,G1_1e7_1e2_0_0.csv,10000000,sum v3 count by id1:id6,10000000,8,dplyr,1.1.2,,group_by,2,80.46,NA,TRUE,499976651;10000000,0.03,NA,FALSE
PCMACS,NA,1693776271,groupby,G1_1e7_1e2_10_0.csv,10000000,sum v1 by id1,91,2,dplyr,1.1.2,,group_by,1,0.11,NA,TRUE,26998588,0,NA,FALSE
PCMACS,NA,1693776271,groupby,G1_1e7_1e2_10_0.csv,10000000,sum v1 by id1,91,2,dplyr,1.1.2,,group_by,2,0.13,NA,TRUE,26998588,0,NA,FALSE
PCMACS,NA,1693776272,groupby,G1_1e7_1e2_10_0.csv,10000000,sum v1 by id1:id2,8281,3,dplyr,1.1.2,,group_by,1,0.23,NA,TRUE,26998588,0,NA,FALSE
PCMACS,NA,1693776272,groupby,G1_1e7_1e2_10_0.csv,10000000,sum v1 by id1:id2,8281,3,dplyr,1.1.2,,group_by,2,0.21,NA,TRUE,26998588,0,NA,FALSE
